;lr;lr_factor;lr_patience;weight_decay;grad_clip_norm;Avg SI-SDR
Baseline;;;;;;
baseline-dprnn;0.00015;0.98;2;0.0 ;5.0;3.03 dB
;;;;;;
3-stage;;;;;;
3stage-dprnn-1;0.00125331;0.8633;3;2.11e-05;2,76;4.67 dB
3stage-dprnn-2;0.00149685;0.7994;5;4.41e-05;2,29;4.29 dB
3stage-dprnn-3;0.00113512;0.5422;5;2.07e-06;13,86;4.28 dB
;;;;;total avg:;4.41 dB
;;;;;;
expA;;;;;;
expA-dprnn-1;0.00142435;0.948955;2;1.120405e-06;5,346;4.22 dB
expA-dprnn-2;0.00128042;0.653726;6;2.184849e-05;9,8461;4.37 dB
expA-dprnn-3;0.00094416;0.652769;6;2.536193e-05;13,3441;4.24 dB
;;;;;total avg:;4.28 dB
;;;;;;
expB;;;;;;
expB-dprnn-1;0.00130228;0.55;5;3.500050e-05;6,6255;
expB-dprnn-2;0.00096905;;;2.563790e-06;7,0227;
expB-dprnn-3;0.00067159;;;3.6280453e-06;11,7;
;;;;;total avg:;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
